Side,Capacity,RegRate,Adensity,MtblRate,VsnRng,InitSgLvl,Birthrate,InbndRt,OtbndRt,Threshold,prd_1,prd_2,prd_3,prd_4,prd_5,prd_6,prd_7,prd_8,prd_9,prd_10,prd_11,prd_12,prd_13,prd_14,prd_15,prd_16,prd_17,prd_18,prd_19,prd_20,prd_21,prd_22,prd_23,prd_24,prd_25,prd_26,prd_27,prd_28,prd_29,prd_30,prd_31,prd_32,prd_33,prd_34,prd_35,prd_36,prd_37,prd_38,prd_39,prd_40,prd_41,prd_42,prd_43,prd_44,prd_45,prd_46,prd_47,prd_48,prd_49,prd_50,prd_51,prd_52,prd_53,prd_54,prd_55,prd_56,prd_57,prd_58,prd_59,prd_60,prd_61,prd_62,prd_63,prd_64,prd_65,prd_66,prd_67,prd_68,prd_69,prd_70,prd_71,prd_72,prd_73,prd_74,prd_75,prd_76,prd_77,prd_78,prd_79,prd_80,prd_81,prd_82,prd_83,prd_84,prd_85,prd_86,prd_87,prd_88,prd_89,prd_90,prd_91,prd_92,prd_93,prd_94,prd_95,prd_96,prd_97,prd_98,prd_99,prd_100
20,2,3,0.18,5,3,4,0.1,0.4,0.29,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,6,2,0.25,3,2,4,0.07,0.37,0.2,5,0.4154541615978004,0.4005450834693699,0.43618033863921823,0.49291235640612785,0.428114635339356,0.4040544503262663,0.5051566374320761,0.5749325910696496,0.589700030305337,0.5455786058001749,0.5468146053717139,0.5582891297444267,0.6063862855590736,0.544169510521791,0.5855735795701228,0.5257169363620187,0.6039866149655384,0.6783932154556209,0.6055509464799992,0.375,0.7575826079459658,0.5961000869599339,0.292568428199921,0.4510301542689499,0.7775513289364593,0.4715284850249475,0.43444172537336456,0.32438733950210086,0.6539312610787829,0.5888294291442204,0.2579809590235922,0.46519673802468464,0.738123348533305,0.577745097076807,0.26676470876957903,0.14109083209415077,0.6666666666666666,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,4,5,0.16,1,3,4,0.02,0.19,0.39,3,0.46538461538461545,0.4122889305816135,0.3878986866791745,0.39595660749506906,0.46538461538461545,0.6323529411764705,0.5955019556714471,0.49864572047670647,0.39595660749506906,0.46538461538461545,0.6323529411764705,0.5955019556714471,0.49864572047670647,0.39595660749506906,0.46538461538461545,0.6251441753171856,0.5811011904761904,0.48863636363636365,0.3894171145101281,0.5141463414634146,0.6078431372549019,0.625,0.48571428571428577,0.3518518518518518,0.5,0.649122807017544,0.631868131868132,0.5846153846153848,0.36363636363636365,0.43636363636363645,0.6233766233766235,0.6446280991735537,0.45999999999999996,0.38000000000000006,0.4692307692307692,0.6666666666666667,0.609090909090909,0.45999999999999996,0.38000000000000006,0.4692307692307692,0.6666666666666667,0.609090909090909,0.45999999999999996,0.38000000000000006,0.4692307692307692,0.6666666666666667,0.609090909090909,0.45999999999999996,0.38000000000000006,0.4692307692307692,0.6666666666666667,0.609090909090909,0.45999999999999996,0.38000000000000006,0.4692307692307692,0.6666666666666667,0.609090909090909,0.45999999999999996,0.31111111111111117,0.48888888888888893,0.7222222222222222,0.6222222222222222,0.39999999999999997,0.31111111111111117,0.48888888888888893,0.7222222222222222,0.6222222222222222,0.39999999999999997,0.31111111111111117,0.48888888888888893,0.7222222222222222,0.6222222222222222,0.32499999999999996,0.3125,0.53125,0.7916666666666667,0.5142857142857142,0.25,0.17142857142857135,0.6,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,6,5,0.26,5,1,4,0.02,0.23,0.08,3,0.4752292744096481,0.3313521095349122,0.416020364993747,0.4299292416323297,0.486320468219114,0.5114776794307354,0.4022899067285032,0.4439777071516272,0.40287607305303563,0.426828436929693,0.4758619704273459,0.4833834574638576,0.3298343156326608,0.314149968311633,0.5621415184539154,0.4963992040945589,0.41719286526420074,0.42594249954000696,0.34932973049154237,0.44865946098308496,0.4182814688358991,0.07036275226130195,0.1809192287579755,0.46437253113088683,0.5,0.5,0.005332013041213557,0.0502831225733007,0.3504425294969262,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,2,3,0.19,4,3,3,0.12,0.12,0.09,4,0.4934854267359655,0.5930154487374709,0.5796471728098097,0.6454781995995056,0.6325401282222413,0.5704837518167025,0.6212551120942215,0.5975871563193467,0.5596236805004171,0.6323625067044026,0.6056781502522323,0.6308338784350114,0.6511612145795951,0.6115897627320798,0.6419568613322636,0.6359269234049966,0.6012532970626149,0.6843063199556481,0.6188430857233485,0.6188430857233485,0.6850533220277705,0.5987821954982617,0.5987821954982617,0.6764030428325661,0.5755601046977196,0.6042099835884371,0.7293548457459165,0.6256121452883932,0.6256121452883932,0.7354402608447945,0.6680532972150082,0.6403910719829252,0.8238313838588454,0.749318277728732,0.6654063826114748,0.8562864944052688,0.7631923974544421,0.6658870002524548,0.8562864944052688,0.7631923974544421,0.6658870002524548,0.8562864944052688,0.7631923974544421,0.6658870002524548,0.8562864944052688,0.7368804416160467,0.7368804416160467,0.8403183271169653,0.7368804416160467,0.7368804416160467,0.8403183271169653,0.7368804416160467,0.7368804416160467,0.8403183271169653,0.7368804416160467,0.7368804416160467,0.8403183271169653,0.7368804416160467,0.7368804416160467,0.8403183271169653,0.7368804416160467,0.7368804416160467,0.8403183271169653,0.7039904968180526,0.8203581180065862,0.8203581180065862,0.7039904968180526,0.8571428571428571,0.8333333333333334,0.8333333333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,6,2,0.21,3,2,2,0.18,0.11,0.24,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,4,5,0.2,1,3,3,0.18,0.36,0.05,3,0.4094562647754136,0.5382716049382718,0.39711399711399714,0.2091787439613526,0.4094562647754136,0.6666666666666666,0.7111111111111111,0.39711399711399714,0.2091787439613526,0.4094562647754136,0.6590909090909091,0.7272727272727273,0.38883720930232557,0.2056025369978859,0.40206718346253234,0.65,0.75,0.3766447368421053,0.2052884615384616,0.40435606060606055,0.6296296296296297,0.7777777777777778,0.4000000000000001,0.22222222222222218,0.44444444444444436,0.5555555555555556,0.8333333333333334,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.6399999999999999,0.1666666666666666,0.28571428571428575,0.4,0.8,0.55,0.19444444444444442,0.3500000000000001,0.3333333333333333,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,5,5,0.24,5,2,2,0.2,0.26,0.38,3,0.449065256473592,0.38785781689054644,0.35405613296359534,0.3244573023655402,0.36631812989936086,0.37861691593900587,0.5040265348105564,0.4601462863160762,0.3570807701903875,0.3427335565167855,0.2672003715940057,0.5543783643169333,0.33683905288285376,0.4775690724909083,0.3783811139374797,0.3928178300239121,0.351879425256523,0.24819474180981663,0.2775021776902304,0.11578540384380502,0.4775690724909083,0.3783811139374797,0.3928178300239121,0.351879425256523,0.15741917277461415,0.08615797694026206,0.08615797694026206,0.21635360873636245,0.0675716709062193,0.4094815713474942,0.4094815713474942,0.15741917277461415,0.08615797694026206,0.08615797694026206,0.21635360873636245,0.0675716709062193,0.4094815713474942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,3,2,0.31,4,2,1,0.05,0.28,0.26,2,0.46427255641778736,0.471253230482879,0.46259558150571134,0.7685852444432235,0.7961037587569564,0.48927056285677345,0.39168935428756124,0.816442883241855,0.7477254076472536,0.3047677370207648,0.28100724378018493,0.8083793692941105,0.7548069653001382,0.31549417671791424,0.2941028069300763,0.8,0.875,0.34920634920634924,0.3333333333333333,NaN,NaN,0.5,0.5,NaN,NaN,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,5,2,0.38,2,3,1,0.08,0.35,0.12,2,0.6307515028932277,0.3948501073087208,0.37952528240775846,0.30433401626521306,0.28495805530395096,0.5920531618879568,0.5244885235961687,0.3951756534742676,0.12079735580014792,0.8462624157932963,0.7382801746638425,0.20618100646982118,0.2576327822186163,0.7561679164467793,0.49149318446543155,0.1502856214717255,0.31901710914292974,0.6785799972539209,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
